Full Name,First Name,Last Name,Profile URL,Headline,Location,Current Company,Current Job Title,VMID
Brian Tyler,Brian,Tyler,https://linkedin.com/in/brian-tyler,CEO at McKesson,Dallas-Fort Worth Metroplex,McKesson,CEO,ACoAACqkZXEB-6Cq7Bh2q_RES1N_OraMUMLqgmc
Mary Powell,Mary,Powell,https://linkedin.com/in/mary-g-powell,Chief Executive Officer and Director at Sunrun,San Francisco Bay Area,Sunrun,Chief Executive Officer and Director,ACoAADamjNIBZgykUVE-3BFhYvyA9maG5tijDvo
Eugene A. Woods,Eugene A.,Woods,https://linkedin.com/in/eugene-a-woods-ba12569,Chief Executive Officer at Advocate Health,"Charlotte, North Carolina, United States",Advocate Health,Chief Executive Officer,ACoAAAGjbCkBgUjUgyK-ahxjRipSACdz5amDwDQ
Justin Bingham,Justin,Bingham,https://linkedin.com/in/justindbingham,CEO at Opiniion Inc | Serial Entrepreneur | 2x Successful Exit,"Pleasant Grove, Utah, United States",Opiniion Inc.,CEO,ACoAAAP5uz0Bjwy6Y2xhwTlzixdyY8b1OBJgmiU
Arne Sorenson,Arne,Sorenson,https://linkedin.com/in/arnesorenson,President and CEO at Marriott International,"Bethesda, Maryland, United States",Marriott International,President and CEO,ACoAAA5Hz6UB3wnGi4Kd1w-z6lkm4IqS5s35bNg
Chris Adams,Chris,Adams,https://linkedin.com/in/chris-adams-3468b66,"Chief Executive Officer, CalAmp",United States,CalAmp,Chief Executive Officer,ACoAAAEzZWYBcMbp3nT0nuYvJ-Ouxop9ottKwoU
Jeffrey Springborn,Jeffrey,Springborn,https://linkedin.com/in/jeffreyspringborn,Chief Executive Officer at Colovore,"Santa Clara, California, United States",Colovore,CEO,ACoAAABAcFAByUhM2qJklVbfPy3LvQjZ8tyxG3I
Brad L.,Brad,L.,https://linkedin.com/in/netconnectbrad,CEO at NetConnect Digital Agency,"Reading, Pennsylvania, United States",NetConnect Digital Agency,CEO,ACoAAAF70m4BF4JUzCe_i8VPI_3MzvzhfQNMq1g
Marcelo Alejandro Russo,Marcelo Alejandro,Russo,https://linkedin.com/in/themarcerusso,CEO @ Fri3nds Agency | Innovative Tech Visionary,"Hallandale Beach, Florida, United States",Fri3nds Agency,Chief Executive Officer,ACoAAAHcZYQBsRthrUNhIdt3hthzmHRv6lAo50U
David Remstein,David,Remstein,https://linkedin.com/in/david-remstein-9b10b744,Chief Executive Officer at FinMason,United States,FinMason,Chief Executive Officer / Board Member,ACoAAAlE79UBR9Cg-meCGwQQMnG9omfyH6Bo_5U
Derek Larkin,Derek,Larkin,https://linkedin.com/in/dereklarkin,Chief Executive Officer,United States,The Fertility Partners,Chief Executive Officer,ACoAAACebLUBG6VqCntfrGCPzSznwAhrQ20cqhY
Dan Laszlo,Dan,Laszlo,https://linkedin.com/in/dan-laszlo,CEO at Inspira,United States,Inspira Financial,CEO,ACoAAABY0n4B8AvlmeHBpXHsCBjN8p1SYXZzwCM
"Eric Beck, DO, MPH",Eric,"Beck, DO, MPH",https://linkedin.com/in/eric-beck-do-mph-50542576,CEO | ESO,"Austin, Texas, United States",ESO,President & CEO,ACoAABAUlpUBVA785xSOMKB5_fHUnNC9CZz99i4
Wade Pfeiffer,Wade,Pfeiffer,https://linkedin.com/in/wade-pfeiffer,"CFO | COO | CEO | Driving Growth, Scale & Operational Excellence | Multi-Faceted Executive | Strategy, Sales, Marketing, Ops, Finance & Digital Transformation Leadership in PE, VC & High-Growth Environments","Mercer Island, Washington, United States",Relay Robotics,President,ACoAAAAQ4dgBZkTzDVDF3Px2VMQ_RWcooAhVOOU
Nabil Makahleh,Nabil,Makahleh,https://linkedin.com/in/nabil-makahleh-0445156,CEO at Aljanabi Group International,United States,Aljanabi Group International,CEO,ACoAAAEkzvQBfdwQKZSGuRdnZc3UURYVm2Wq-1Y
