Full Name,First Name,Last Name,Profile URL,Headline,Location,Current Company,Current Job Title,VMID
Sergey Voynov,Sergey,Voynov,https://linkedin.com/in/sergey-voynov,CEO & Founder,"Mountain View, California, United States",G-71 Security,CEO & Founder,ACoAAAZgWpEBQr5rk5p-hAPKbjGXqj-6l_6T5rk
Anup Lakare,Anup,Lakare,https://linkedin.com/in/anup-lakare,Founder & CEO Avitr Tech Inc.,"Atlanta, Georgia, United States",Avitr Tech Inc.,Founder,ACoAAAApd2MBe02ImO9pAeHUKWi_qahvpzm0Sn0
Avi Golan,Avi,Golan,https://linkedin.com/in/avigolan,CEO & Executive Advisor to CEOs & Investors,"New York, New York, United States",ArcStone Advisors LLC,Founder & Managing Partner,ACoAAAAtYkUB0IvyssjDAXyZzlFZTFmYwxx1TOM
Donna Moore,Donna,Moore,https://linkedin.com/in/donnamoore4,CEO and Chairwoman ,United States,Leadership Studio Collective,Executive Mentor & Strategic Advisor,ACoAAAFjveMBfidagkYXOVVpAxTkdQOwgoywmEo
Joe Eazor,Joe,Eazor,https://linkedin.com/in/joe-eazor-8782581,CEO | Board Member | Operating Partner,United States,E Source,Chief Executive Officer,ACoAAAA299wBMC5Qq9NV8Hf45ZXJ4zXrf3bTE3M
Jenica Myszkowski,Jenica,Myszkowski,https://linkedin.com/in/jenicapastalaniec,Chief Executive Officer | Chief Operating Officer | Chief Brand Officer | President,Greater Chicago Area,CAMP,CEO & President,ACoAAACtgy8BgRrZX24yEL8SodikyIWHvyhWXlg
Gary Goodwin,Gary,Goodwin,https://linkedin.com/in/gary-goodwin-87806517,CHIEF EXECUTIVE OFFICER | PRESIDENT | BOARD DIRECTOR | SERVANT LEADER | CHANGE AGENT,"Bradenton, Florida, United States",Arrowhead Engineered Products,President - Engineered Products Group,ACoAAANjvJwBCH-mkZqtDezZfv9SGh8oEHIS_zU
Jeff Turner,Jeff,Turner,https://linkedin.com/in/jeff-turner-a2883016,Founder & CEO at Crestfield Risk,United States,Crestfield Risk,Founder & CEO,ACoAAANTeMAB4A460Rxgm1rHEby2E24Gcm6piqc
Jill Langenfeld,Jill,Langenfeld,https://linkedin.com/in/jill-langenfeld-coo,Healthcare Chief Operating Officer (COO) | Executive VP (EVP) | President | Operational & Digital Transformations | Scalable Growth | Restructuring & Turnarounds | Value-Based Care,United States,Tellihealth,Chief Operating Officer,ACoAAAFbCOoBxT0mPZflSmTXlXhUIeR8DihRhwg
David Tierney,David,Tierney,https://linkedin.com/in/david-tierney-5757019,Chief Executive Officer at Aramis Biosciences,"Rumson, New Jersey, United States",Aramis Biosciences,President & CEO,ACoAAAG0rekBFJ7azAWyPJjeDQJtR0YZpcDh9xo
Brad Goodall,Brad,Goodall,https://linkedin.com/in/brad-goodall-86331524,CEO and Founder at Banked,San Francisco Bay Area,Banked,CEO Co-Founder,ACoAAAUHm4sBg30saamBEUAou1-Sy8LYvXtYyoU
Richard Belenski,Richard,Belenski,https://linkedin.com/in/richard-belenski-6125283,CEO - President - COO,New York City Metropolitan Area,Fractional Execs On Demand (fractionalexecsondemand.com),Founder & Managing Director,ACoAAACch24BgHElOmDgen_xdN3BB-C7C-mCIo8
Alex Alexandrov,Alex,Alexandrov,https://linkedin.com/in/alexjalexandrov,Chief Executive Officer at Momentus Technologies,United States,Momentus Technologies,Chief Executive Officer,ACoAAABoXwwB-VL3i6C6p6WZCUG7EMTSssD5B8Y
Dan Maloney,Dan,Maloney,https://linkedin.com/in/danielwilliammaloney,Chief Executive Officer at LandingAI,"San Jose, California, United States",LandingAI,Chief Executive Officer (Previously COO),ACoAAAAJwwAB4fJXurgP308bsQ-gu4c6c2S0Y4g
Thomas Gabriele,Thomas,Gabriele,https://linkedin.com/in/thomasgabriele,CEO and Co-Founder @ wispr | Executive Leadership, MBA,United States,wispr,CEO and Co-Founder,ACoAAAEHYHIBpusVDCvkx0hi357xTFdNOhypeiE
Jim Atkinson,Jim,Atkinson,https://linkedin.com/in/jamesdatkinson,Chief Executive Officer at RedTeam Software,"Austin, Texas, United States",RedTeam - Construction Technology,Chief Executive Officer,ACoAAAADI3wBKk3LdjmzmzKMr0l8-nlhvZ-caEo
Jon Soldan,Jon,Soldan,https://linkedin.com/in/jonsoldan,CEO at Eftsure,United States,Eftsure,Chief Executive Officer (CEO),ACoAAAGu5JgBH_7mlfewov9S_K5JxQXw9y-8kIY
George Fuller,George,Fuller,https://linkedin.com/in/georgefuller2,CEO,"Spring, Texas, United States",Christensen, Inc.,President & COO,ACoAAAH0NukBBqofyJkYH-mMC5aCGdiA_85ZYPw
"Deborah Knobelman, PhD",Deborah,"Knobelman, PhD",https://linkedin.com/in/deborah-knobelman-phd,C-Suite Biotech Executive,United States,Stealth Mode Biotech,Founder and CEO,ACoAAABd6k8Bb8O9ymIE-mxxXk81I6hhE0mBKfA
David H.,David,H.,https://linkedin.com/in/davidhellercarbondivestindigiblock,Chief Executive Officer @ CarbonDivest.Org | Agile Expert Leading Climate Action in Multiple Industry Sectors esp. Hospitality,Miami-Fort Lauderdale Area,Hospitality and Sustainability Sector,Chief Sustainability Officer & VP,ACoAAARgg54BMnMbvh3EC2pv464efvSAPDJ1QnY
Nitesh Banga,Nitesh,Banga,https://linkedin.com/in/nitesh-banga-710248b,President and CEO at Virtusa,San Francisco Bay Area,Virtusa,Chief Executive Officer,ACoAAAH-RfwB_i-iivTX7jfmAt-rugccAXIXT0A
Adam Silverman (Hiring),Adam,Silverman (Hiring),https://linkedin.com/in/adamsil,Building Custom AI Agents @ Agency,"San Francisco, California, United States",Agency,Co-Founder + COO,ACoAAB9-nN0BzNRAovgaekKpzxs1UiPezADERIk
Bill Abajian,Bill,Abajian,https://linkedin.com/in/bill-abajian-70146a12,"Chief Executive Officer / Turnarounds & Startups","Cedar Grove, New Jersey, United States",The Abajian Group LLC,Managing Partner,ACoAAAKPPXEBjPaTGzWZROWyLVQ9iF1OVzPPzxg
Seok-Hee Lee,Seok-Hee,Lee,https://linkedin.com/in/seok-hee-lee-b8277811,President and CEO,United States,SK On,President and CEO,ACoAAAJtV5IBIP0WGRNfsgyrpBTDJ00R8Oy_4F0
Howard Lau,Howard,Lau,https://linkedin.com/in/howard-lau-525138,"Mentor, Independent Board Member, Startup Enthusiast","Menlo Park, California, United States",Vedasa, Inc.,President,ACoAAAAE9-0BixzEsMiEpllMMc87kQZmLhxSScE
Jacob Zuppke 🐈,Jacob,Zuppke 🐈,https://linkedin.com/in/jacobzuppke,President & CEO at Whisker,"Auburn Hills, Michigan, United States",Whisker,President & CEO,ACoAAAVQI60BXJ5SPq0XNtMOt1z5hAc7s6DT5tk
